TIMESTAMP,Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Last Heartbeat
192074.146432398,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.21702609700150788
192074.211494297,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.2836205959902145
192074.281768696,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.3511236959893722
192074.331057096,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.3511236959893722
192074.345492596,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.3511236959893722
192074.379231495,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004205807053949684,yaw=-0.12133604288101196,roll=2.596640661067795e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.3511236959893722
192074.408689095,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004205807053949684,yaw=-0.12133604288101196,roll=2.596640661067795e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.4754515939857811
192074.478685494,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004205807053949684,yaw=-0.12133604288101196,roll=2.596640661067795e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5454729929915629
192074.516372094,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004205807053949684,yaw=-0.12133604288101196,roll=2.596640661067795e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5454729929915629
192074.530543993,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004205807053949684,yaw=-0.12133604288101196,roll=2.596640661067795e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5454729929915629
192074.545266693,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004129394073970616,yaw=-0.12133129686117172,roll=1.9442148186499253e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5454729929915629
192074.561953193,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004129394073970616,yaw=-0.12133129686117172,roll=1.9442148186499253e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.6333379919815343
192074.631011892,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004129394073970616,yaw=-0.12133129686117172,roll=1.9442148186499253e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.698525890999008
192074.688056992,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004129394073970616,yaw=-0.12133129686117172,roll=1.9442148186499253e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7592145910020918
192074.729585791,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004129394073970616,yaw=-0.12133129686117172,roll=1.9442148186499253e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7592145910020918
192074.751063191,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004129394073970616,yaw=-0.12133129686117172,roll=1.9442148186499253e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7592145910020918
192074.767215491,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7592145910020918
192074.784476491,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.8566689899889752
192074.84785809,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.9214160889969207
192074.887390589,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",7.110001752153039e-05
192074.958676088,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.07316889901994728
192075.005251788,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.07316889901994728
192075.030494088,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004109111614525318,yaw=-0.12132322043180466,roll=4.6290883801702876e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.07316889901994728
192075.046176587,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004032367141917348,yaw=-0.12131880223751068,roll=5.3906719585938845e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.07316889901994728
192075.061949987,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004032367141917348,yaw=-0.12131880223751068,roll=5.3906719585938845e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.181204897002317
192075.134412786,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004032367141917348,yaw=-0.12131880223751068,roll=5.3906719585938845e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.2472274970205035
192075.179862886,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004032367141917348,yaw=-0.12131880223751068,roll=5.3906719585938845e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.2472274970205035
192075.193148686,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004032367141917348,yaw=-0.12131880223751068,roll=5.3906719585938845e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.2472274970205035
192075.208395186,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.2472274970205035
192075.221479985,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.343744195997715
192075.292413885,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.406218695017742
192075.370288284,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.48004829400451854
192075.441000983,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5592884930083528
192075.465554483,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5592884930083528
192075.484391783,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040511335828341544,yaw=-0.12130841612815857,roll=-4.670663201977732e-06","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5592884930083528
192075.513175883,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040430310764349997,yaw=-0.12130177766084671,roll=2.936813245923986e-07","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.5592884930083528
192075.531918183,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040430310764349997,yaw=-0.12130177766084671,roll=2.936813245923986e-07","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.6491712930146605
192075.607812682,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.00040430310764349997,yaw=-0.12130177766084671,roll=2.936813245923986e-07","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7172264929977246
